SP_ENTITY_NAME,SP_ENTITY_ID,SP_CIQ_ID,IQ_TOTAL_REV_Y,IQ_TOTAL_REV_Q,IQ_TOTAL_REV_FY2025,IQ_TOTAL_REV_FQ12026,IQ_TOTAL_REV_FQ42025,IQ_TOTAL_REV_FQ32025,IQ_TOTAL_ASSETS_Y,IQ_TOTAL_ASSETS_Q,IQ_TOTAL_ASSETS_FY2025,IQ_TOTAL_ASSETS_FQ12026,IQ_TOTAL_ASSETS_FQ42025,IQ_TOTAL_ASSETS_FQ32025,IQ_TOTAL_LIAB_Y,IQ_TOTAL_LIAB_Q,IQ_TOTAL_LIAB_FY2025,IQ_TOTAL_LIAB_FQ12026,IQ_TOTAL_LIAB_FQ42025,IQ_TOTAL_LIAB_FQ32025,IQ_TOTAL_LIAB_TOTAL_ASSETS_Y,IQ_TOTAL_LIAB_TOTAL_ASSETS_Q,IQ_TOTAL_LIAB_TOTAL_ASSETS_FY2025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ12026,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ42025,IQ_TOTAL_LIAB_TOTAL_ASSETS_FQ32025,SP_CURRENT_ASSETS_Y,SP_CURRENT_ASSETS_Q,SP_CURRENT_ASSETS_FY2025,SP_CURRENT_ASSETS_FQ12026,SP_CURRENT_ASSETS_FQ42025,SP_CURRENT_ASSETS_FQ32025,IQ_TOTAL_CL_Y,IQ_TOTAL_CL_Q,IQ_TOTAL_CL_FY2025,IQ_TOTAL_CL_FQ12026,IQ_TOTAL_CL_FQ42025,IQ_TOTAL_CL_FQ32025,IQ_TOTAL_DEBT_Y,IQ_TOTAL_DEBT_Q,IQ_TOTAL_DEBT_FY2025,IQ_TOTAL_DEBT_FQ12026,IQ_TOTAL_DEBT_FQ42025,IQ_TOTAL_DEBT_FQ32025,IQ_TOTAL_EQUITY_Y,IQ_TOTAL_EQUITY_Q,IQ_TOTAL_EQUITY_FY2025,IQ_TOTAL_EQUITY_FQ12026,IQ_TOTAL_EQUITY_FQ42025,IQ_TOTAL_EQUITY_FQ32025,IQ_CURRENT_RATIO_Y,IQ_CURRENT_RATIO_Q,IQ_CURRENT_RATIO_FY2025,IQ_CURRENT_RATIO_FQ12026,IQ_CURRENT_RATIO_FQ42025,IQ_CURRENT_RATIO_FQ32025,IQ_QUICK_RATIO_Y,IQ_QUICK_RATIO_Q,IQ_QUICK_RATIO_FY2025,IQ_QUICK_RATIO_FQ12026,IQ_QUICK_RATIO_FQ42025,IQ_QUICK_RATIO_FQ32025,IQ_CASH_EQUIV_Y,IQ_CASH_EQUIV_Q,IQ_CASH_EQUIV_FY2025,IQ_CASH_EQUIV_FQ12026,IQ_CASH_EQUIV_FQ42025,IQ_CASH_EQUIV_FQ32025,IQ_RETAINED_EARNINGS_Y,IQ_RETAINED_EARNINGS_Q,IQ_RETAINED_EARNINGS_FY2025,IQ_RETAINED_EARNINGS_FQ12026,IQ_RETAINED_EARNINGS_FQ42025,IQ_RETAINED_EARNINGS_FQ32025,IQ_EBIT_Y,IQ_EBIT_Q,IQ_EBIT_FY2025,IQ_EBIT_FQ12026,IQ_EBIT_FQ42025,IQ_EBIT_FQ32025,IQ_AR_RE_Y,IQ_AR_RE_Q,IQ_AR_RE_FY2025,IQ_AR_RE_FQ12026,IQ_AR_RE_FQ42025,IQ_AR_RE_FQ32025,IQ_TOTAL_RECEIV_Y,IQ_TOTAL_RECEIV_Q,IQ_TOTAL_RECEIV_FY2025,IQ_TOTAL_RECEIV_FQ12026,IQ_TOTAL_RECEIV_FQ42025,IQ_TOTAL_RECEIV_FQ32025,IQ_OPER_INC_RE_Y,IQ_OPER_INC_RE_Q,IQ_OPER_INC_RE_FY2025,IQ_OPER_INC_RE_FQ12026,IQ_OPER_INC_RE_FQ42025,IQ_OPER_INC_RE_FQ32025,IQ_NET_INC_PARENT_Y,IQ_NET_INC_PARENT_Q,IQ_NET_INC_PARENT_FY2025,IQ_NET_INC_PARENT_FQ12026,IQ_NET_INC_PARENT_FQ42025,IQ_NET_INC_PARENT_FQ32025,IQ_GP_Y,IQ_GP_Q,IQ_GP_FY2025,IQ_GP_FQ12026,IQ_GP_FQ42025,IQ_GP_FQ32025,IQ_WORKING_CAP_Y,IQ_WORKING_CAP_Q,IQ_WORKING_CAP_FY2025,IQ_WORKING_CAP_FQ12026,IQ_WORKING_CAP_FQ42025,IQ_WORKING_CAP_FQ32025,SP_MARKETCAP_Current,SP_PRICE_OPEN_Current,SP_PRICE_HIGH_Current,SP_PRICE_LOW_Current,SP_HEADCOUNT_LATEST,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,SP_HEADCOUNT_GROWTHRATE_2026,IQ_TOTAL_EMPLOYEES_Y,IQ_TOTAL_EMPLOYEES_Q,IQ_TOTAL_EMPLOYEES_FY2025,IQ_TOTAL_EMPLOYEES_FQ12026,IQ_TOTAL_EMPLOYEES_FQ42025,IQ_TOTAL_EMPLOYEES_FQ32025,REG_CEO_CHANGE_MRY,REG_CEO_CHANGE_MRQ,REG_CEO_CHANGE_2025Y,REG_CEO_CHANGE_2026Q1,REG_CEO_CHANGE_2025Q4,REG_CEO_CHANGE_2025Q3,IQ_AUDITOR_NAME_Y,IQ_AUDITOR_NAME_Q,IQ_AUDITOR_NAME_FY2025,IQ_AUDITOR_NAME_FQ12026,IQ_AUDITOR_NAME_FQ42025,IQ_AUDITOR_NAME_FQ32025,SP_FITCH_LT_CREDIT_RATING,SP_FITCH_LT_RATING_EFFECTIVE_ DATE,SP_FITCH_LT_RATING_CREDIT_WATCH_OUTLOOK,RD_CREDIT_RATING_GLOBAL_Issuer Credit Rating,RD_CREDIT_RATING_DATE_GLOBAL_Issuer Credit Rating,RD_CWOL_GLOBAL_Issuer Credit Rating,RD_CREDIT_WATCH_OUTLOOK_DATE_GLOBAL_Issuer Credit Rating,IQ_EBITDA_Y,IQ_EBITDA_Q,IQ_EBITDA_FY2025,IQ_EBITDA_FQ12026,IQ_EBITDA_FQ42025,IQ_EBITDA_FQ32025
ACRES Commercial Realty Corp. (NYSE:ACR),4103630,IQ20448255,87695,18791,87695,18791,21326,24997,2162364,2486105,2162364,2486105,2162364,1688647,1611772,1931182,1611772,1931182,1611772,1254146,74.537,77.679,74.537,77.679,74.537,74.269,,,,,,,20892,20415,20892,20415,20892,20488,1590880,1910767,1590880,1910767,1590880,1233658,550592,554923,550592,554923,550592,434501,97.149,115.818,97.149,115.818,97.149,75.879,92.606,111.278,92.606,111.278,92.606,70.316,83768,47985,83768,47985,83768,40925,-720028,-721051,-720028,-721051,-720028,-717076,,,,,,,,,,,,,1850966,2223748,1850966,2223748,1850966,1399709,,,,,,,21316,4091,21316,4091,2244,15068,36370,9081,36370,9081,12147,9542,2008747,2344004,2008747,2344004,2008747,1534128,148.09075155,21.72,24.61,17.06,,,,,,,,,,,,,,,,,Ernst & Young LLP,,Ernst & Young LLP,,Ernst & Young LLP,,,,,,,,,,,,,,
UWM Holdings Corporation (NYSE:UWMC),4106316,IQ4542401,3458695,1006656,3458695,,1006656,871065,16928676,16928676,16928676,,16928676,17022337,15335047,15335047,15335047,,15335047,15435259,90.586,90.586,90.586,,90.586,90.676,12133713,12133713,12133713,,12133713,13043789,4101144,895656,4101144,,895656,8066524,14445866,14465965,14445866,,14465965,14556352,1593629,1593629,1593629,,1593629,1587078,2.959,13.547,2.959,,13.547,1.617,0.2,1.15,0.2,,1.15,0.147,503364,503364,503364,,503364,870703,189447,189447,189447,,189447,169935,777299,311883,777299,,311883,143939,,,,,,,11356480,11592782,11356480,,11592782,11828032,,,,,,,27380,19412,27380,,19412,-1262,3458695,1006656,3458695,,1006656,871065,8032569,11238057,8032569,,11238057,4977265,1146.54847854,3.64,7.14,3.3803,344,,,0,9100,,9100,,,,,,,,,,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,,,,,,,832805,327088,832805,,327088,158078
"Lightstone Value Plus REIT I, Inc. (PSGM:LHTV)",4114431,IQ10837790,62362,18984,62362,,18984,15541,387694,387694,387694,,387694,387311,231612,231612,231612,,231612,230612,59.741,59.741,59.741,,59.741,59.542,,,,,,,13146,13146,13146,,13146,12026,219226,219226,219226,,219226,218771,156082,156082,156082,,156082,156699,5.29,5.29,5.29,,5.29,6.615,4.703,4.703,4.703,,4.703,6.089,61825,61825,61825,,61825,73228,2126,2126,2126,,2126,1853,8184,4484,8184,,4484,1476,,,,,,,,,,,,,8184,4484,8184,,4484,1476,-7323,273,-7323,,273,2487,20094,7330,20094,,7330,4951,56395,56395,56395,,56395,67521,67.925,,5,2.55,,,,,,,,,,,,,,,,,EisnerAmper LLP,EisnerAmper LLP,EisnerAmper LLP,,EisnerAmper LLP,,,,,,,,,15312,6276,15312,,6276,3267
"CV Holdings, Inc. (OTCPK:CVHL)",4120207,IQ22239639,-6456.642,1174,,,,,154850.54,6014,,,,,260529.167,888,,,,,168.246,14.766,,,,,,4478,,,,,260529.167,79,,,,,250644.725,809,,,,,-105678.627,5126,,,,,0.579,56.684,,,,,0.576,56.684,,,,,2688.388,4478,,,,,-116650.035,-418256,,,,,,,,,,,,,,,,,147443.465,,,,,,,,,,,,-18153.285,550.5,,,,,-6456.642,1174,,,,,-109616.596,4399,,,,,0.901792976,,0.025,0.003,6,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Douglas Emmett, Inc. (NYSE:DEI)",4137375,IQ27666920,1003982,249433,1003982,,249433,250580,9288181,9288181,9288181,,9288181,9385330,5813250,5813250,5813250,,5813250,5861681,62.588,62.588,62.588,,62.588,62.456,,,,,,,1377181,1377181,1377181,,1377181,1021049,5566115,5566115,5566115,,5566115,5577797,3474931,3474931,3474931,,3474931,3523649,0.38,0.38,0.38,,0.38,0.585,0.355,0.355,0.355,,0.355,0.553,340789,340789,340789,,340789,408483,-1505390,-1505390,-1505390,,-1505390,-1466728,190449,44755,190449,,44755,47422,125609,125609,125609,,125609,125356,125609,125609,125609,,125609,125356,190449,44755,190449,,44755,47422,16267,-6844,16267,,-6844,-10854,636045,155075,636045,,155075,159398,-853475,-853475,-853475,,-853475,-423290,1857.41161103,10.89,16.985,9.04,380,,,0,778,778,778,,778,,,,,,,,Ernst & Young LLP,Ernst & Young LLP,Ernst & Young LLP,,Ernst & Young LLP,,,,,,,,,584554,141780,584554,,141780,147565
"GTJ REIT, Inc.",4142195,IQ28434842,84045,21415,84045,,21415,20942,557560,557560,557560,,557560,518250,537490,537490,537490,,537490,500388,96.4,96.4,96.4,,96.4,96.553,,,,,,,8010,8010,8010,,8010,6506,522198,522198,522198,,522198,486003,20070,20070,20070,,20070,17862,5.982,5.982,5.982,,5.982,6.711,5.91,5.91,5.91,,5.91,6.641,28834,28834,28834,,28834,23015,,,,,,,39022,10310,39022,,10310,10589,18506,18506,18506,,18506,20194,18506,18506,18506,,18506,20194,39022,10310,39022,,10310,10589,16949,3181,16949,,3181,3313,67385,16958,67385,,16958,16916,39908,39908,39908,,39908,37156,,,,,8,,,14,,,,,,,,,,,,,,,,,,,,,,,,,,55994,14534,55994,,14534,14870
"The GEO Group, Inc. (NYSE:GEO)",4144107,IQ338018,2631549,707695,2631549,,707695,682341,3843622,3843622,3843622,,3843622,3809273,2339488,2339488,2339488,,2339488,2289293,60.867,60.867,60.867,,60.867,60.098,718529,718529,718529,,718529,685324,356891,356891,356891,,356891,422634,1725373,1725373,1725373,,1725373,1630378,1504134,1504134,1504134,,1504134,1519980,2.013,2.013,2.013,,2.013,1.622,1.877,1.877,1.877,,1.877,1.507,68995,68995,68995,,68995,183945,294252,294252,294252,,294252,262486,297093,85836,297093,,85836,78300,,,,,,,601063,601063,601063,,601063,452918,,,,,,,254372,31766,254372,,31766,173940,663068,177788,663068,,177788,173460,361638,361638,361638,,361638,262690,2465.70139246,18.67,31.73,12.51,3609,,,0,18000,18000,18000,,18000,,,,,,,,Grant Thornton,,Grant Thornton,,,,,,,BB-,2025-07-15 11:16:25,Positive,2025-07-15 11:16:25,429132,119968,429132,,119968,111339
Corporate Property Associates 17 - Global Incorporated,4154814,IQ32778658,430640,105528,,,,,4587470,4425842,,,,,2244213,2219000,,,,,48.92,50.137,,,,,,,,,,,171439,325021,,,,,1955370,1934250,,,,,2343257,2206842,,,,,4.408,2.596,,,,,3.668,2.24,,,,,119094,84563,,,,,,,,,,,233148,38738,,,,,509228,619940,,,,,619728,717640,,,,,233148,38738,,,,,97287,-15583,,,,,336261,62422,,,,,584181,518699,,,,,,,,,,,,,,,,,,,,,,,,,PricewaterhouseCoopers LLP,,,,,,,,,,,,,352771,66513,,,,
"AMEN Properties, Inc. (OTCPK:AMEN)",4156713,IQ376188,2348.341,523.541,2348.341,,523.541,523.541,6176.693,6176.693,6176.693,,6176.693,6176.693,758.073,758.073,758.073,,758.073,758.073,12.273,12.273,12.273,,12.273,12.273,3144.476,3144.476,3144.476,,3144.476,3144.476,758.073,758.073,758.073,,758.073,758.073,0,0,0,,0,0,5418.62,5418.62,5418.62,,5418.62,5418.62,4.148,4.148,4.148,,4.148,4.148,4.042,4.042,4.042,,4.042,4.042,2825.331,2825.331,2825.331,,2825.331,2825.331,-49071.922,-49071.922,-49071.922,,-49071.922,-49071.922,-136.907,-89.85,-136.907,,-89.85,-89.85,,,,,,,239.035,239.035,239.035,,239.035,239.035,,,,,,,1698.375,621.142,1698.375,,621.142,621.142,986.538,194.126,986.538,,194.126,194.126,2386.403,2386.403,2386.403,,2386.403,2386.403,24.98041371,478.03,548,459.696,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,148.929,-28.772,148.929,,-28.772,-28.772
Chimera Investment Corporation (NYSE:CIM),4168892,IQ36344150,368876,66671,368876,,66671,38233,15808542,15808542,15808542,,15808542,15115495,13235848,13235848,13235848,,13235848,12544257,83.726,83.726,83.726,,83.726,82.989,,,,,,,6647163,6647163,6647163,,6647163,5688924,13072350,13072350,13072350,,13072350,12223862,2572694,2572694,2572694,,2572694,2571238,1.683,1.683,1.683,,1.683,1.963,1.538,1.538,1.538,,1.538,1.953,278582,278582,278582,,278582,491475,-2003816,-2003816,-2003816,,-2003816,-1978925,,,,,,,,,,,,,9919600,9919600,9919600,,9919600,10615150,,,,,,,230499,28332,230499,,28332,-580,341139,60660,341139,,60660,31242,4540016,4540016,4540016,,4540016,5478216,1140.08913273,13.85,14.88,11.67,,,,,423,423,423,,423,,,,,,,,Ernst & Young LLP,Ernst & Young LLP,Ernst & Young LLP,,Ernst & Young LLP,,,,,,,,,,,,,,
American Coastal Insurance Corporation (NASDAQCM:ACIC),4169946,IQ36852377,335439,86375,335439,,86375,90395,1072732,1072732,1072732,,1072732,1178854,755167,755167,755167,,755167,851633,70.397,70.397,70.397,,70.397,72.242,0,0,0,,0,0,595337,595337,595337,,595337,689847,152488,152488,152488,,152488,152463,317565,317565,317565,,317565,327221,1.051,1.051,1.051,,1.051,1.075,0.488,0.488,0.488,,0.488,0.462,198762,198762,198762,,198762,267872,-114509,-114509,-114509,,-114509,-104499,146592,39935,146592,,39935,44424,,,,,,,70447,70447,70447,,70447,30335,,,,,,,106837,26564,106837,,26564,32483,191555,51793,191555,,51793,55745,30118,30118,30118,,30118,52047,556.4742495,11.76,13.055,9.97,,,,,68,68,68,,68,,,,,,,,Deloitte & Touche LLP,Deloitte & Touche LLP,Deloitte & Touche LLP,,Deloitte & Touche LLP,,,,,,,,,152828,41379,152828,,41379,45970
"Complete Financial Solutions, Inc. (OTCPK:CFSU)",4183598,IQ34407138,3901.564,1631.804,,,,,6581.905,9107.123,,,,,2448.971,6260.655,,,,,37.208,68.745,,,,,1931.65,5882.334,,,,,2079.934,5385.331,,,,,1485.287,5032.193,,,,,4132.934,2846.468,,,,,0.929,1.092,,,,,0.356,0.285,,,,,,6.888,,,,,-3722.824,-3998.95,,,,,143.724,220.926,,,,,,,,,,,97.937,304.601,,,,,,,,,,,-660.075,-10.827,,,,,3887.263,1627.463,,,,,-148.284,497.003,,,,,130.891856208,0.12,0.22,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226.856,241.926,,,,
"Apple Hospitality REIT, Inc. (NYSE:APLE)",4187996,IQ38985277,1412386,337741,1412386,337741,326436,373878,4902178,4894225,4902178,4894225,4902178,4913520,1753583,1767715,1753583,1767715,1753583,1723579,35.772,36.118,35.772,36.118,35.772,35.078,,93749,,93749,,,364043,91091,364043,91091,364043,131738,1663649,1676624,1663649,1676624,1663649,1622804,3148595,3126510,3148595,3126510,3148595,3189941,0.216,1.029,0.216,1.029,0.216,1.332,0.131,0.795,0.131,0.795,0.131,0.834,8515,7837,8515,7837,8515,50290,,,,,,,250412,48013,250412,48013,44418,73841,,,,,,,33452,64622,33452,64622,33452,53130,250412,48013,250412,48013,44418,73841,175364,27699,175364,27699,29615,50880,602363,138169,602363,138169,130606,162463,-285403,2658,-285403,2658,-285403,43788,3106.64901064,13.29,13.665,10.85,56,,,2,64,,64,,64,,,,,,,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,KPMG LLP - Klynveld Peat Marwick Goerdeler,,,,,,,,,443447,97550,443447,97550,93084,122043
AGNC Investment Corp. (NASDAQGS:AGNC),4199629,IQ41018622,1797000,-114000,1797000,-114000,995000,836000,115077000,118897000,115077000,118897000,115077000,108969000,102684000,106716000,102684000,106716000,102684000,97525000,89.231,89.755,89.231,89.755,89.231,89.498,,,,,,,102119000,106203000,102119000,106203000,102119000,96436000,85348000,88056000,85348000,88056000,85348000,74297000,12393000,12181000,12393000,12181000,12393000,11444000,0.183,0.19,0.183,0.19,0.183,0.259,0.17,0.172,0.17,0.172,0.17,0.244,450000,493000,450000,493000,450000,450000,-8524000,-9123000,-8524000,-9123000,-8524000,-9038000,,,,,,,,,,,,,152000,,152000,,152000,1502000,,,,,,,1670000,-148000,1670000,-148000,954000,806000,1797000,-114000,1797000,-114000,995000,836000,-83441000,-86024000,-83441000,-86024000,-83441000,-71479000,12225.4467468,10.87,12.19,8.61,43,,,-10,54,,54,,54,,,,,,,,Ernst & Young LLP,,Ernst & Young LLP,,Ernst & Young LLP,,,,,,,,,,,,,,
"Presidio Property Trust, Inc. (NASDAQCM:SQFT)",4206498,IQ3588712,16814.708,4114.642,16814.708,,4114.642,4196.142,122052.874,122052.874,122052.874,,122052.874,127808.885,97395.227,97395.227,97395.227,,97395.227,98461.525,79.798,79.798,79.798,,79.798,77.038,,,,,,,35250.627,35250.627,35250.627,,35250.627,15060.815,92114.475,92114.475,92114.475,,92114.475,93765.786,24657.647,24657.647,24657.647,,24657.647,29347.36,0.289,0.289,0.289,,0.289,0.752,0.105,0.105,0.105,,0.105,0.429,1722.359,1722.359,1722.359,,1722.359,4202.915,,,,,,,89.559,26.435,89.559,,26.435,-24.122,1982.487,1982.487,1982.487,,1982.487,2254.464,2298.861,2298.861,2298.861,,2298.861,2570.838,89.559,26.435,89.559,,26.435,-24.122,-8275.685,-3973.664,-8275.685,,-3973.664,-1290.848,10656.656,2566.4,10656.656,,2566.4,2661.579,-25051.669,-25051.669,-25051.669,,-25051.669,-3732.522,4.8018763,3.45,23,2.1001,10,,,0,15,15,15,,15,,,,,,,,Baker Tilly,Baker Tilly,Baker Tilly,,Baker Tilly,,,,,,,,,4447.073,696.023,4447.073,,696.023,1210.274
Anywhere Real Estate Inc.,4206664,IQ26879202,5960000,1448000,5960000,,1448000,1626000,5598000,5598000,5598000,,5598000,5743000,4108000,4108000,4108000,,4108000,4223000,73.383,73.383,73.383,,73.383,73.533,608000,608000,608000,,608000,,1346000,1346000,1346000,,1346000,1415000,3035000,3035000,3035000,,3035000,3115000,1490000,1490000,1490000,,1490000,1520000,0.452,0.452,0.452,,0.452,0.51,0.299,0.299,0.299,,0.299,0.388,132000,132000,132000,,132000,139000,-3309000,-3309000,-3309000,,-3309000,-3283000,76000,8000,76000,,8000,44000,,,,,,,271000,271000,271000,,271000,410000,,,,,,,-90000,-26000,-90000,,-26000,-13000,2041000,498000,2041000,,498000,559000,-738000,-738000,-738000,,-738000,-693000,1977.98547744,,,,1423,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,268000,57000,268000,,57000,92000
"Gaucho Group Holdings, Inc. (OTCEM:VINO)",4207685,IQ163024919,2151.014,422.691,,,,,16560.325,14092.115,,,,,10864.346,10854.593,,,,,65.605,77.026,,,,,4296.929,4521.167,,,,,9660.75,9521.46,,,,,2927.851,3000.789,,,,,5695.979,3237.522,,,,,0.445,0.475,,,,,0.118,0.116,,,,,427.961,213.383,,,,,-133789.163,-142286.512,,,,,-10827.816,-2315.304,,,,,,,,,,,716.773,890.727,,,,,,,,,,,-16198.01,-3133.654,,,,,534.951,69.425,,,,,-5363.821,-5000.293,,,,,1.4176725,,2.005,0.0002,15,,,0,80,,,,,,,,,,,,Marcum LLP,,,,,,,,,,,,,-10375.891,-2185.875,,,,
Invesco Mortgage Capital Inc. (NYSE:IVR),4209142,IQ45988053,119840,-15013,119840,-15013,56059,57936,6475894,6271200,6475894,6271200,6475894,5960945,5678350,5394846,5678350,5394846,5678350,5191364,87.684,86.026,87.684,86.026,87.684,87.09,,244593,,244593,,,5675344,5391134,5675344,5391134,5675344,5186416,5619255,5368103,5619255,5368103,5619255,5150761,797544,876354,797544,876354,797544,769581,0.035,0.045,0.035,0.045,0.035,0.041,0.016,0.02,0.016,0.02,0.016,0.017,56040,52598,56040,52598,56040,58539,-3578907,-3632077,-3578907,-3632077,-3578907,-3601305,,,,,,,,,,,,,27848,52553,27848,52553,27848,29017,,,,,,,101279,-19904,101279,-19904,51494,53471,119840,-15013,119840,-15013,56059,57936,-5476653,-5146541,-5476653,-5146541,-5476653,-4975941,717.34,8.26,9.5,7.1,11,,,0,,,,,,,,,,,,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,,,,,,,,,,
"LendingTree, Inc. (NASDAQGS:TREE)",4211977,IQ91183,1117324,327267,1117324,327267,319688,307792,855692,863884,855692,863884,855692,759922,568895,559150,568895,559150,568895,627524,66.484,64.725,66.484,64.725,66.484,82.577,229708,244399,229708,244399,229708,258766,137464,129331,137464,129331,137464,180871,439611,437853,439611,437853,439611,449844,286797,304734,286797,304734,286797,132398,1.671,1.89,1.671,1.89,1.671,1.431,1.558,1.765,1.558,1.765,1.558,1.366,81073,85518,81073,85518,81073,68578,-728099,-710833,-728099,-710833,-728099,-872755,82107,32073,82107,32073,23012,28915,,,,,,,133082,142692,133082,142692,133082,178444,,,,,,,151308,17266,151308,17266,144656,10165,1074799,315571,1074799,315571,308117,296775,92244,115068,92244,115068,92244,77895,542.91193038,39.45,77.345,32.6487,1077,,,0,919,,919,,919,,,,,,,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,PricewaterhouseCoopers LLP,,,,,B+,2026-03-31 10:27:15,Stable,2026-03-31 10:27:15,91456,37546,91456,37546,28226,34198
Beacon Redevelopment Industrial Corporation (OTCEM:BCND),4214470,IQ679822,242.686,27.177,,,,,1034.797,970.336,,,,,1727.76,1668.77,,,,,166.966,171.979,,,,,58.676,8.551,,,,,1727.76,1668.77,,,,,1197.066,1260.99,,,,,-692.963,-698.434,,,,,0.034,0.005,,,,,0.033,0.004,,,,,6.142,0.864,,,,,-3030.523,-3245.348,,,,,-966.21,-61.071,,,,,,,,,,,50.589,5.177,,,,,,,,,,,-1825.543,-129.495,,,,,242.686,27.177,,,,,-1669.084,-1660.219,,,,,0.000217583,,1e-06,1e-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-962.607,-59.742,,,,
"Bluerock Residential Growth REIT, Inc.",4214866,IQ47687921,232718,64135,,,,,2599333,2642101,,,,,1437706,1511947,,,,,55.311,57.225,,,,,,,,,,,72621,81224,,,,,1364991,1442483,,,,,1161627,1130154,,,,,5.698,4.296,,,,,2.615,3.381,,,,,166492,244924,,,,,,,,,,,42656,11579,,,,,22523,23740,,,,,196723,48394,,,,,42656,11579,,,,,91712,6922,,,,,150494,40288,,,,,341194,267704,,,,,,,,,0,,,,,,,,,,,,,,,,Grant Thornton,,,,,,,,,,,,,122662,34150,,,,
"Silver Star Properties REIT, Inc. (OTCEM:SLVS)",4220196,IQ49900373,98070,17237,,,,,479317,245040,,,,,367673,43826,,,,,76.708,17.885,,,,,,,,,,,323318,35554,,,,,320526,15536,,,,,111644,201214,,,,,0.236,0.914,,,,,0.057,0.286,,,,,334,1318,,,,,,,,,,,3352,19,,,,,16507,2433,,,,,19947,8834,,,,,3352,19,,,,,-36248,69143,,,,,43893,7736,,,,,-246967,-3069,,,,,10.11381495,,0.43,0.1,55,,,-4,144,,,,,,,,,,,,Weaver & Tidwell LLP,,,,,,,,,,,,,30323,4434,,,,
"Strategic Realty Trust, Inc.",4220541,IQ50034020,2787,625,,,,,35748,34330,,,,,18602,18566,,,,,52.036,54.081,,,,,,,,,,,322,365,,,,,18000,17974,,,,,17146,15764,,,,,13.863,9.545,,,,,12.205,8.104,,,,,3089,2057,,,,,-77852,-79251,,,,,-1509,-327,,,,,841,901,,,,,841,901,,,,,-1509,-327,,,,,-11545,-682,,,,,1098,336,,,,,4142,3119,,,,,0.75270762,,,,,,,,,,,,,,,,,,,,Moss Adams LLP,,,,,,,,,,,,,-487,-94,,,,
"Pacific Oak Strategic Opportunity REIT, Inc. (OTCEM:PCOK)",4224476,IQ52056017,94159,18998,,,,18998,1124956,884799,,,,884799,969153,976358,,,,976358,86.15,110.348,,,,110.348,,,,,,,259684,613942,,,,613942,874924,887984,,,,887984,155803,-91559,,,,-91559,0.538,0.145,,,,0.145,0.301,0.061,,,,0.061,56000,19991,,,,19991,,,,,,,-46408,-9457,,,,-9457,19700,10800,,,,10800,22084,17763,,,,17763,-46408,-9457,,,,-9457,-100837,-117716,,,,-117716,2357,-386,,,,-386,-120048,-525079,,,,-525079,108.09896475,1.05,2.2,0.052862,,,,,,,,,,,,,,,,,Ernst & Young LLP,,,,,,,,,,,,,-7939,-1763,,,,-1763
Office Properties Income Trust (OTCEM:OPIT.Q),4226533,IQ53262489,442556,107221,442556,,107221,107221,3488596,3488596,3488596,,3488596,3488596,2607609,2607609,2607609,,2607609,2607609,74.747,74.747,74.747,,74.747,74.747,,,,,,245006,126856,126856,126856,,126856,126856,889557,889557,889557,,889557,889557,880987,880987,880987,,880987,880987,1.931,1.931,1.931,,1.931,1.931,1.528,1.528,1.528,,1.528,1.528,29486,29486,29486,,29486,29486,,,,,,,50824,10708,50824,,10708,10708,164114,164114,164114,,164114,164114,164345,164345,164345,,164345,164345,50824,10708,50824,,10708,10708,-272374,-92660.5,-272374,,-92660.5,-92660.5,366666,88685.5,366666,,88685.5,88685.5,118150,118150,118150,,118150,118150,0.0073941128,0.0001,1.13,1e-06,4,,,0,,,,,,,,,,,,,,,,,,,,,,D,2025-10-31 10:08:38,NM,2025-10-31 10:08:38,213833,51315,213833,,51315,51315
