CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Core & Main, Inc.",HSUPWL,Retail,E-commerce,Non-store Retailing,USA,CNM,A,L,2504079,100.0,"Core & Main, Inc.",United States
Cache  Inc.,CACHI,Retail,Clothing & Fashion Retail,Clothing Retail,USA,CACH,A,L,171869,100.0,"Cache, Inc.",United States
"The Buckle, Inc.",BCKLIN,Retail,Clothing & Fashion Retail,Clothing Retail,USA,BKE,A,L,318463,100.0,"The Buckle, Inc.",United States
AMCON Distributing Co.,MCNDST,Retail,Wholesale & Distribution,Wholesalers,USA,DIT,A,L,345386,100.0,AMCON Distributing Company,United States
Applied BioSciences Corp.,BLSQLQ,Retail,Specialty Retail,Decorating/DIY/Hardware Retailing,USA,APPB,A,L,409347516,100.0,Applied Biosciences Corp.,United States
Cagrapes.Com,DIPWRI,Retail,Grocery & Food Retail,Beer/Wine/Liquor Retailing,USA,CAGR,A,L,45795742,100.0,"California Grapes International, Inc.",United States
"HF Foods Group, Inc.",AZYYZO,Retail,Grocery & Food Retail,Food/Beverage Wholesalers,USA,HFFG,A,L,558014292,100.0,HF Foods Group Inc.,United States
Global Links Corp.,BLJMN,Retail,E-commerce,E-commerce,USA,GLCO,A,L,415252,100.0,Global Links Corp.,United States
"Evil Empire Designs, Inc.",EVIEMD,Retail,Wholesale & Distribution,Automobile/Automobile Part Wholesalers,USA,EVVL,A,L,612263265,100.0,"Evil Empire Designs, Inc.",United States
"Café Serendipity Holdings, Inc.",FRCFUL,Retail,Other Retail,Pharmacies/Drugstores,USA,CAFS,A,L,265671166,100.0,"Café Serendipity Holdings, Inc.",United States
"Auto Parts 4Less Group, Inc.",RXSSOB,Retail,E-commerce,Etailing,USA,FLES,A,L,571096445,100.0,"Auto Parts 4Less Group, Inc.",United States
Interactive Health Network,HPCPSC,Retail,Other Retail,Pharmacies/Drugstores,USA,IGRW,A,L,61877419,100.0,Interactive Health Network,United States
"Starguide Group, Inc.",TTZMTO,Retail,Wholesale & Distribution,Wholesalers,USA,STRG,A,L,663943689,100.0,"Starguide Group, Inc.",United States
"Barnes & Noble Education, Inc.",BANOED,Retail,Specialty Retail,Book Retailing,USA,BNED,A,L,286180590,100.0,"Barnes & Noble Education, Inc.",United States
"Burlington Stores, Inc.",BCFWC,Retail,Clothing & Fashion Retail,Clothing Retail,USA,BURL,A,L,242224249,100.0,"Burlington Stores, Inc.",United States
"Climb Global Solutions, Inc.",VOYSOF,Retail,Wholesale & Distribution,Computers/Electronic Equipment Wholesalers,USA,CLMB,A,L,140282,100.0,"Climb Global Solutions, Inc.",United States
Sterling Consolidated Corp.,STRLGZ,Retail,Wholesale & Distribution,Wholesalers,USA,STCC,A,L,215502980,100.0,Sterling Consolidated Corp.,United States
"The Childrens Place, Inc.",CDPLRT,Retail,Clothing & Fashion Retail,Clothing Retail,USA,PLCE,A,L,35335,100.0,"The Children's Place, Inc.",United States
iBrands Corp.,PDNVND,Retail,Specialty Retail,Marijuana Retailing,USA,IBRC,A,L,1016066,100.0,iBrands Corp.,United States
"Bowlin Travel Centers, Inc.",BWLNTR,Retail,Department & Discount,Convenience Goods Retailing,USA,BWTL,A,L,3103403,100.0,"Bowlin Travel Centers, Inc.",United States
"Redwood Scientific Technologies, Inc.",VONETW,Retail,E-commerce,E-commerce,USA,RSCI,A,L,100590669,100.0,"Redwood Scientific Technologies, Inc.",United States
"ACV Auctions, Inc.",IEZZPC,Retail,Auto Retail,Used Car Dealing,USA,ACVA,A,L,290035001,100.0,ACV Auctions Inc.,United States
"PhoneX Holdings, Inc.",EFPSEP,Retail,E-commerce,Etailing,USA,PXHI,A,L,58286995,100.0,"PhoneX Holdings, Inc.",United States
Metawells Oil & Gas Co.,ELTIDE,Retail,Specialty Retail,Automatic Vending Machines,USA,KOSK,A,L,11343427,100.0,Metawells Oil & Gas Inc.,United States
"1-800-FLOWERS.COM, Inc.",EIGHFL,Retail,Specialty Retail,Florists,USA,FLWS,A,L,24085,100.0,"1-800-FLOWERS.COM, Inc.",United States
"iFresh, Inc.",GLTWGK,Retail,Grocery & Food Retail,Food Retailing,USA,IFMK,A,L,378088872,100.0,iFresh Inc.,United States
"MSC Industrial Direct Co., Inc.",MSCIND,Retail,Wholesale & Distribution,Wholesalers,USA,MSM,A,L,108424,100.0,"MSC Industrial Direct Co., Inc.",United States
Vince Holding Corp.,APPHCZ,Retail,Clothing & Fashion Retail,Clothing Retail,USA,VNCE,A,L,247261058,100.0,Vince Holding Corp.,United States
"Etsy, Inc.",COMBZZ,Retail,E-commerce,Etailing,USA,ETSY,A,L,28492682,100.0,"Etsy, Inc.",United States
"Macys, Inc.",FEDS,Retail,Department & Discount,Department Stores,USA,M,A,L,318091,100.0,"Macy's, Inc.",United States
"Warby Parker, Inc.",OIBVMW,Retail,Specialty Retail,Optical Retail/Opticians,USA,WRBY,A,L,107146021,100.0,Warby Parker Inc.,United States
