CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Veris Residential, Inc.",CRELT,Real Estate,REITs,Residential REITs,USA,VRE,A,L,338214,100.0,"Veris Residential, Inc.",United States
Franklin Credit Management Corp.,FCRMPK,Real Estate,Mortgage & Finance,Mortgage Banks/Real Estate Credit,USA,FCRM,A,L,58170901,100.0,Franklin Credit Management Corporation,United States
"Lightstone Value Plus REIT IV, Inc.",QKOHVJ,Real Estate,REITs,Diversified REITs,USA,LTSV,A,L,278293904,100.0,"Lightstone Value Plus REIT IV, Inc.",United States
"Rafael Holdings, Inc.",CUEYMU,Real Estate,Commercial Real Estate,Commercial Real Estate,USA,RFL,A,L,542275995,100.0,"Rafael Holdings, Inc.",United States
"Alexanders, Inc.",ALXNDR,Real Estate,REITs,Diversified REITs,USA,ALX,A,L,248975,100.0,"Alexander's, Inc.",United States
"Essential Properties Realty Trust, Inc.",USDYOQ,Real Estate,REITs,Diversified REITs,USA,EPRT,A,L,567714077,100.0,"Essential Properties Realty Trust, Inc.",United States
Cherry Hill Mortgage Investment Corp.,CHMICZ,Real Estate,REITs,Mortgage REITs,USA,CHMI,A,L,237744193,100.0,Cherry Hill Mortgage Investment Corporation,United States
"J.W. Mays, Inc.",MAJA,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,MAYS,A,L,286942,100.0,"J.W. Mays, Inc.",United States
"Clipper Realty, Inc.",QQLNVL,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,CLPR,A,L,306671588,100.0,Clipper Realty Inc.,United States
"Postal Realty Trust, Inc.",OEJVWS,Real Estate,REITs,Specialty REITs,USA,PSTL,A,L,603923229,100.0,"Postal Realty Trust, Inc.",United States
BRT Apartments Corp.,BRTRT,Real Estate,REITs,Mortgage REITs,USA,BRT,A,L,253440,100.0,BRT Apartments Corp.,United States
"One Liberty Properties, Inc.",OLFP,Real Estate,REITs,Retail REITs,USA,OLP,A,L,293779,100.0,"One Liberty Properties, Inc.",United States
Kimco Realty Corp.,KMCOR,Real Estate,REITs,Retail REITs,USA,KIM,A,L,320371,100.0,Kimco Realty Corporation,United States
"Mountain Top Properties, Inc.",INBDEV,Real Estate,Real Estate Services,Real Estate Services/Transactions,USA,MTPP,A,L,5038880,100.0,"Mountain Top Properties, Inc.",United States
Ares Commercial Real Estate Corp.,ACRCZZ,Real Estate,REITs,Mortgage REITs,USA,ACRE,A,L,140508224,100.0,Ares Commercial Real Estate Corporation,United States
"AG Mortgage Investment Trust, Inc.",AGMGIT,Real Estate,REITs,Mortgage REITs,USA,MITT,A,L,130395861,100.0,"TPG Mortgage Investment Trust, Inc.",United States
"MFA Financial, Inc.",AMFSMT,Real Estate,REITs,Mortgage REITs,USA,MFA,A,L,235682,100.0,"MFA Financial, Inc.",United States
"Annaly Capital Management, Inc.",ANMORT,Real Estate,REITs,Mortgage REITs,USA,NLY,A,L,382914,100.0,"Annaly Capital Management, Inc.",United States
"Franklin BSP Realty Trust, Inc.",AREAFT,Real Estate,REITs,Retail REITs,USA,FBRT,A,L,226559957,100.0,"Franklin BSP Realty Trust, Inc.",United States
"Global Net Lease, Inc.",ARECGT,Real Estate,REITs,Industrial/Office REITs,USA,GNL,A,L,142250097,100.0,"Global Net Lease, Inc.",United States
"BrightSpire Capital, Inc.",BWVLIA,Real Estate,REITs,Mortgage REITs,USA,BRSP,A,L,544510231,100.0,"BrightSpire Capital, Inc.",United States
"Brixmor Property Group, Inc.",CEPRGU,Real Estate,REITs,Retail REITs,USA,BRX,A,L,127694719,100.0,Brixmor Property Group Inc.,United States
Chimera Investment Corp.,CHMRIV,Real Estate,REITs,Mortgage REITs,USA,CIM,A,L,36344150,100.0,Chimera Investment Corporation,United States
"Blackstone Mortgage Trust, Inc.",CREIT,Real Estate,REITs,Mortgage REITs,USA,BXMT,A,L,258279,100.0,"Blackstone Mortgage Trust, Inc.",United States
"W.P. Carey, Inc.",CRYDVF,Real Estate,REITs,Industrial/Office REITs,USA,WPC,A,L,24043,100.0,W. P. Carey Inc.,United States
