CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"NexGen Mining, Inc.",HLSM,Materials,Metals & Mining,Mining/Quarrying,USA,NXGM,A,L,27811987,100.0,NexGen Mining Incorporated,United States
"Pershing Resources Co., Inc.",MRHIAZ,Materials,Metals & Mining,Precious Metals,USA,PSGR,A,L,1717846,100.0,"Pershing Resources Company, Inc.",United States
"Green Hygienics, Inc.",MTNTCL,Materials,Paper & Packaging,Paper/Pulp,USA,GRHY,A,L,12547712,100.0,"Green Hygienics, Inc.",United States
Patriot Gold Corp.,NOSTC,Materials,Metals & Mining,Precious Metals,USA,PGOL,A,L,3173692,100.0,Patriot Gold Corp.,United States
American Battery Technology Co.,ORPLTR,Materials,Metals & Mining,Metal Ore Mining,USA,ABAT,A,L,240726304,100.0,American Battery Technology Company,United States
Winvest Group Ltd.,UNICNR,Materials,Plastics & Polymers,Plastics Products,USA,WNLV,A,L,117588320,100.0,Winvest Group Ltd.,United States
"Western Exploration, Inc.",WSTHOP,Materials,Metals & Mining,Gold Ore Mining,USA,WEX,A,L,36731,100.0,WEX Inc.,United States
"Comstock, Inc.",STCALL,Materials,Metals & Mining,Gold Ore Mining,USA,LODE,A,L,4765993,100.0,Comstock Inc.,United States
Hycroft Mining Holding Corp.,FLGJKV,Materials,Metals & Mining,Gold Ore Mining,USA,HYMC,A,L,30027533,100.0,Hycroft Mining Holding Corporation,United States
Paramount Gold Nevada Corp.,PNLMST,Materials,Metals & Mining,Gold Ore Mining,USA,PZG,A,L,280164433,100.0,Paramount Gold Nevada Corp.,United States
Balchem Corp.,BALCHM,Materials,Chemicals,Chemicals,USA,BCPC,A,L,253076,100.0,Balchem Corporation,United States
"NoFire Technologies, Inc.",PNFIND,Materials,Chemicals,Basic Organic Chemicals,USA,NFTI,A,L,375399,100.0,"Nofire Technologies, Inc.",United States
Phibro Animal Health Corp.,PHIBCH,Materials,Chemicals,Agrochemicals,USA,PAHC,A,L,528955,100.0,Phibro Animal Health Corporation,United States
Homasote Co.,HOMSOT,Materials,Building Materials,Building Materials/Products,USA,HMTC,A,L,3158308,100.0,Homasote Company,United States
Sincerity Applied Materials Holdings Corp.,HPPKID,Materials,Plastics & Polymers,Plastics Products,USA,SINC,A,L,433841259,100.0,Sincerity Applied Materials Holdings Corp.,Australia
"Gibraltar Industries, Inc.",GIBSC,Materials,Building Materials,Building Materials/Products,USA,ROCK,A,L,334367,100.0,"Gibraltar Industries, Inc.",United States
"Corning, Inc.",CORN,Materials,Glass & Ceramics,Glass/Glass Products,USA,GLW,A,L,173840,100.0,Corning Incorporated,United States
"Antiaging Quantum Living, Inc.",GNCWUM,Materials,Metals & Mining,Silver Ore Mining,USA,AAQL,A,L,333329440,100.0,Antiaging Quantum Living Inc.,United States
"United-Guardian, Inc.",NIR,Materials,Chemicals,Basic Organic Chemicals,USA,UG,A,L,310712,100.0,"United-Guardian, Inc.",United States
"Ecosciences, Inc.",ONAIRO,Materials,Chemicals,Chemicals,USA,ECEZ,A,L,263957187,100.0,"Ecosciences, Inc.",United States
"HempAmericana, Inc.",HMPAMZ,Materials,Paper & Packaging,Paper Stationery Products,USA,HMPQ,A,L,261615113,100.0,"HempAmericana, Inc",United States
"International Flavors & Fragrances, Inc.",IFLAV,Materials,Chemicals,Chemicals,USA,IFF,A,L,281407,100.0,International Flavors & Fragrances Inc.,United States
Griffon Corp.,ISY,Materials,Building Materials,Building Materials/Products,USA,GFF,A,L,281121,100.0,Griffon Corporation,United States
"Minerals Technologies, Inc.",MINRLT,Materials,Chemicals,Chemicals,USA,MTX,A,L,320303,100.0,Minerals Technologies Inc.,United States
Mesabi Trust,MSB,Materials,Metals & Mining,Ferrous Metal Ore Mining,USA,MSB,A,L,288778,100.0,Mesabi Trust,United States
"Metal Arts Co., Inc.",MTLART,Materials,Metals & Mining,Metal Products,USA,MTRT,A,L,3170038,100.0,"The Metal Arts Company, Inc.",United States
"Taylor Devices, Inc.",TAYD,Materials,Building Materials,Building Materials/Products,USA,TAYD,A,L,307215,100.0,"Taylor Devices, Inc.",United States
"Madison Technologies, Inc.",MADEPL,Materials,Metals & Mining,Gemstone Mining,USA,MDEX,A,L,11408257,100.0,Madison Technologies Inc.,United States
Global Gold Corp.,GLGBLL,Materials,Metals & Mining,Precious Metals,USA,GBGD,A,L,3694542,100.0,Global Gold Corporation,United States
Albemarle Corp.,ALBML,Materials,Chemicals,Chemicals,USA,ALB,A,L,18671,100.0,Albemarle Corporation,United States
Nucor Corp.,NUE,Materials,Other Materials,Steel Cold Rolling/Forming,USA,NUE,A,L,184945,100.0,Nucor Corporation,United States
"Hydromer, Inc.",HYDI,Materials,Chemicals,Chemicals,USA,HYDI,A,L,381768,100.0,"Hydromer, Inc.",United States
Curtiss-Wright Corp.,CWC,Materials,Metals & Mining,Metal Products,USA,CW,A,L,265386,100.0,Curtiss-Wright Corporation,United States
"Insteel Industries, Inc.",EXPIND,Materials,Building Materials,Building Materials/Products,USA,IIIN,A,L,281083,100.0,Insteel Industries Inc.,United States
"Martin Marietta Materials, Inc.",MMATR,Materials,Building Materials,Building Materials/Products,USA,MLM,A,L,31153,100.0,"Martin Marietta Materials, Inc.",United States
Knife River Corp.,KRVRCR,Materials,Building Materials,Cement/Ready-mix Concrete,USA,KNF,A,L,635662,100.0,Knife River Corporation,United States
The Clay Logan Products Company,LGNCLY,Materials,Building Materials,Clay Building Materials,USA,LGNC,A,L,3168216,100.0,Logan Clay Products Company,United States
"Myers Industries, Inc.",MYES,Materials,Plastics & Polymers,Plastic Containers/Packaging,USA,MYE,A,L,290177,100.0,"Myers Industries, Inc.",United States
Avient Corp.,GEONCO,Materials,Plastics & Polymers,Synthetic Resins/Polymers,USA,AVNT,A,L,203002,100.0,Avient Corporation,United States
"Metallus, Inc.",TSTLZZ,Materials,Other Materials,Steel/Iron Products,USA,MTUS,A,L,256837003,100.0,Metallus Inc.,United States
"Innovest Global, Inc.",CLTAGN,Materials,Metals & Mining,Mining/Quarrying,USA,IVST,A,L,29948758,100.0,"Innovest Global, Inc.",United States
"Cleveland-Cliffs, Inc.",CCIC,Materials,Metals & Mining,Ferrous Metal Ore Mining,USA,CLF,A,L,261738,100.0,Cleveland-Cliffs Inc.,United States
"Core Molding Technologies, Inc.",RYMACM,Materials,Plastics & Polymers,Plastics Products,USA,CMT,A,L,363725,100.0,"Core Molding Technologies, Inc.",United States
"Worthington Enterprises, Inc.",WTHG,Materials,Other Materials,Steel/Iron Products,USA,WOR,A,L,314750,100.0,"Worthington Enterprises, Inc.",United States
Ranpak Holdings Corp.,OMHJJC,Materials,Paper & Packaging,Packaging,USA,PACK,A,L,540631094,100.0,Ranpak Holdings Corp.,United States
"Greif, Inc.",GRFBR,Materials,Paper & Packaging,Packaging,USA,GEF,A,L,377361,100.0,"Greif, Inc.",United States
"Advanced Drainage Systems, Inc.",ADVDRA,Materials,Building Materials,Building Materials/Products,USA,WMS,A,L,24355,100.0,"Advanced Drainage Systems, Inc.",United States
Materion Corp.,BRSHWL,Materials,Metals & Mining,Non-ferrous Metals,USA,MTRN,A,L,256977,100.0,Materion Corporation,United States
Preformed Line Products Co.,PRFLIN,Materials,Metals & Mining,Metal Products,USA,PLPC,A,L,3175918,100.0,Preformed Line Products Company,United States
"RPM International, Inc.",RPOW,Materials,Metals & Mining,Paints/Coatings,USA,RPM,A,L,299095,100.0,RPM International Inc.,United States
Avery Dennison Corp.,AVRYI,Materials,Paper & Packaging,Packaging/Labeling Services,USA,AVY,A,L,252978,100.0,Avery Dennison Corporation,United States
"O-I Glass, Inc.",OWENIL,Materials,Paper & Packaging,Glass Containers/Packaging,USA,OI,A,L,32583,100.0,"O-I Glass, Inc.",United States
Owens Corning,OCF,Materials,Building Materials,Building Materials/Products,USA,OC,A,L,294338,100.0,Owens Corning,United States
Nordson Corp.,NDSN,Materials,Metals & Mining,Metal Products,USA,NDSN,A,L,143614,100.0,Nordson Corporation,United States
"LSB Industries, Inc.",LSBIN,Materials,Chemicals,Chemicals,USA,LXU,A,L,284668,100.0,"LSB Industries, Inc.",United States
"Webco Industries, Inc.",WEBCOI,Materials,Other Materials,Steel/Iron Products,USA,WEBC,A,L,334298,100.0,"Webco Industries, Inc.",United States
"Greystone Logistics, Inc.",CABEN,Materials,Plastics & Polymers,Plastic Containers/Packaging,USA,GLGI,A,L,708565,100.0,"Greystone Logistics, Inc.",United States
Electric Metals (USA) Ltd.,OJJFML,Materials,Metals & Mining,Silver Ore Mining,USA,EML,A,L,175181,100.0,The Eastern Company,United States
"Bryn Resources, Inc.",RNETWR,Materials,Metals & Mining,Metal Ore Mining,USA,BRYN,A,L,366645,100.0,Bryn Resources Inc.,United States
Ampco-Pittsburgh Corp.,AMPCP,Materials,Other Materials,Steel/Iron Products,USA,AP,A,L,251148,100.0,Ampco-Pittsburgh Corporation,United States
Quaker Houghton,QCC,Materials,Chemicals,Chemicals,USA,KWR,A,L,298843,100.0,Quaker Chemical Corporation,United States
"Omega Flex, Inc.",OFLEXI,Materials,Building Materials,Building Materials/Products,USA,OFLX,A,L,830448,100.0,"Omega Flex, Inc.",United States
"Nocopi Technologies, Inc.",NCPIT,Materials,Metals & Mining,Printing Inks,USA,NNUP,A,L,416178,100.0,"Nocopi Technologies, Inc.",United States
"Armstrong World Industries, Inc.",ARMIND,Materials,Building Materials,Building Materials/Products,USA,AWI,A,L,3023697,100.0,"Armstrong World Industries, Inc.",United States
"Ecovyst, Inc.",PQ,Materials,Chemicals,Basic Inorganic Chemicals,USA,ECVT,A,L,433871442,100.0,Ecovyst Inc.,United States
Carpenter Technology Corp.,CARP,Materials,Metals & Mining,Ferrous Metals,USA,CRS,A,L,258937,100.0,Carpenter Technology Corporation,United States
Axalta Coating Systems Ltd.,DPNTPC,Materials,Metals & Mining,Paints/Coatings,USA,AXTA,A,L,216313883,100.0,Axalta Coating Systems Ltd.,United States
Enviri Corp.,HRSCO,Materials,Other Materials,Steel/Iron Products,USA,NVRI,A,L,277575,100.0,Enviri Corporation,United States
"Diamond Holdings, Inc.",APUTAO,Materials,Metals & Mining,Non-ferrous Metals,USA,DIAH,A,L,415407128,100.0,"Diamond Holdings, Inc.",United States
Alcoa Corp.,AUPNEW,Materials,Metals & Mining,Aluminum,USA,AA,A,L,369991357,100.0,Alcoa Corporation,United States
L.B. Foster Co.,FSTRA,Materials,Building Materials,Building Materials/Products,USA,FSTR,A,L,130863,100.0,L.B. Foster Company,United States
"Koppers Holdings, Inc.",KPRSIN,Materials,Chemicals,Chemicals,USA,KOP,A,L,12633071,100.0,Koppers Holdings Inc.,United States
"PPG Industries, Inc.",PPG,Materials,Metals & Mining,Paints/Coatings,USA,PPG,A,L,294639,100.0,"PPG Industries, Inc.",United States
"Avantor, Inc.",MALLBI,Materials,Chemicals,Basic Inorganic Chemicals,USA,AVTR,A,L,403055588,100.0,"Avantor, Inc.",United States
"Gold & GemStone Mining, Inc.",GLGSMS,Materials,Metals & Mining,Precious Metals,USA,GGSM,A,L,100541299,100.0,Gold and GemStone Mining Inc.,United States
Entrepreneur Universe Bright Group,LGOCMP,Materials,Metals & Mining,Tin/Tantalum/Tungsten Ore Mining,USA,EUBG,A,L,3604801,100.0,Entrepreneur Universe Bright Group,China
Sonoco Products Co.,SONOCO,Materials,Paper & Packaging,Packaging,USA,SON,A,L,304124,100.0,Sonoco Products Company,United States
Ingevity Corp.,GLMPUM,Materials,Chemicals,Chemicals,USA,NGVT,A,L,313060799,100.0,Ingevity Corporation,United States
Critical Metals Corp.,QRRQES,Materials,Metals & Mining,Lithium Mining,USA,CRML,A,L,553118868,100.0,Critical Metals Corp.,United States
"CryoPort, Inc.",GTFIVE,Materials,Plastics & Polymers,Plastic Containers/Packaging,USA,CYRX,A,L,20991737,100.0,"Cryoport, Inc.",United States
Vulcan International Corp.,VLCN,Materials,Other Materials,Rubber Products,USA,VULC,A,L,312715,100.0,Vulcan International Corporation,United States
Kaiser Aluminum Corp.,KAISAL,Materials,Metals & Mining,Aluminum,USA,KALU,A,L,319334,100.0,Kaiser Aluminum Corporation,United States
Eastman Chemical Co.,EASCH,Materials,Chemicals,Chemicals,USA,EMN,A,L,109103,100.0,Eastman Chemical Company,United States
Sylvamo Corp.,FQDTKL,Materials,Paper & Packaging,Paper Mills,USA,SLVM,A,L,697354917,100.0,Sylvamo Corporation,United States
International Paper Co.,INTPAP,Materials,Paper & Packaging,Paper Mills,USA,IP,A,L,61036,100.0,International Paper Company,United States
Louisiana-Pacific Corp.,LOUPAC,Materials,Building Materials,Building Materials/Products,USA,LPX,A,L,286119,100.0,Louisiana-Pacific Corporation,United States
"AVEW Holdings, Inc.",CFTRST,Materials,Metals & Mining,Gold Ore Mining,USA,AVEW,A,L,248704304,100.0,AVEW Holdings Inc.,United States
"Thermon Group Holdings, Inc.",THERII,Materials,Building Materials,Building Materials/Products,USA,THR,A,L,105613224,100.0,"Thermon Group Holdings, Inc.",United States
"Franklin Mining, Inc.",FCONM,Materials,Metals & Mining,Gold Ore Mining,USA,FMNJ,A,L,273659,100.0,"Franklin Mining, Inc.",United States
"Inno Holdings, Inc.",GLQCWS,Materials,Metals & Mining,Prefabricated Metal Buildings/Products,USA,INHD,A,L,1844578716,100.0,Inno Holdings Inc.,Hong Kong
"Impreso, Inc.",TSTIMP,Materials,Paper & Packaging,Paper Mills,USA,ZCOM,A,L,347125,100.0,"Impreso, Inc.",United States
"TOR Minerals International, Inc.",HITOKS,Materials,Plastics & Polymers,Synthetic Dyes/Pigments,USA,TORM,A,L,278195,100.0,"TOR Minerals International, Inc.",United States
Uranium Energy Corp.,URNMEN,Materials,Metals & Mining,Uranium Ore Mining,USA,UEC,A,L,23428489,100.0,Uranium Energy Corp.,United States
"ATI, Inc. (Texas)",ALGTLD,Materials,Metals & Mining,Rare Earth Metals,USA,ATI,A,L,348893,100.0,ATI Inc.,United States
"Eagle Materials, Inc.",CNCN,Materials,Building Materials,Cement/Ready-mix Concrete,USA,EXP,A,L,338134,100.0,Eagle Materials Inc.,United States
"Kronos Worldwide, Inc.",KRONWW,Materials,Plastics & Polymers,Synthetic Dyes/Pigments,USA,KRO,A,L,8059421,100.0,"Kronos Worldwide, Inc.",United States
"Valhi, Inc.",LLCO,Materials,Chemicals,Chemicals,USA,VHI,A,L,311730,100.0,"Valhi, Inc.",United States
"NL Industries, Inc.",NLIND,Materials,Plastics & Polymers,Synthetic Dyes/Pigments,USA,NL,A,L,290269,100.0,"NL Industries, Inc.",United States
MineralRite Corp.,PSMCRP,Materials,Metals & Mining,Mining/Quarrying,USA,RITE,A,L,6761415,100.0,MineralRite Corporation,United States
