CompanyName-fss,CompanyCode-fss,Sector,SubSector,Industry,Region,Ticker,Status,ListStatus,SPCIQ_ID,link_score,CompanyName-sp,Country
"Urologix, Inc.",UROLOG,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,ULGX,A,L,36061,100.0,"Urologix, Inc.",United States
"Electromed, Inc.",DKSBBQ,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,ELMD,A,L,104752926,100.0,"Electromed, Inc.",United States
"Panbela Therapeutics, Inc.",CMRRON,Healthcare,Biotech & Research,Biological Therapy,USA,PBLA,A,L,181990710,100.0,"Panbela Therapeutics, Inc.",United States
Centene Corp.,CENTE,Healthcare,Healthcare Services,Healthcare Support Services,USA,CNC,A,L,26273,100.0,Centene Corporation,United States
"Stereotaxis, Inc.",STERTS,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,STXS,A,L,34778,100.0,"Stereotaxis, Inc.",United States
"Xtant Medical Holdings, Inc.",KKITZ,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,XTNT,A,L,11129226,100.0,"Xtant Medical Holdings, Inc.",United States
Arno Therapeutics  Inc.,LUITIN,Healthcare,Pharmaceuticals,Biopharmaceuticals,USA,ARNI,A,L,33802737,100.0,"Arno Therapeutics, Inc.",United States
Medical Imaging Corp.,DIIGDI,Healthcare,Other Healthcare,Medical Laboratory Services,USA,MEDD,A,L,28605108,100.0,Medical Imaging Corp.,United States
ChromoCure Inc.,ATTURK,Healthcare,Medical Devices,Medical Diagnostic Equipment/Supplies,USA,KKUR,A,L,22195490,100.0,"ChromoCure, Inc.",United States
"Nicodrops, Inc.",NTBZZ,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,NCDP,A,L,9902330,100.0,"Nicodrops, Inc.",United States
Interpharm Holdings Inc,HILLBD,Healthcare,Pharmaceuticals,Generic/Biosimilar Drugs,USA,IPAH,A,L,3733492,100.0,"Interpharm Holdings, Inc.",United States
Inyx Inc,DOBLIQ,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,IYXI,A,L,7683082,100.0,"Inyx, Inc.",United States
Valentine Mark Corporation,LDPHCI,Healthcare,Healthcare Services,Healthcare Provision,USA,VTMC,A,L,30087495,100.0,Valentine Mark Corporation,United States
Tianrong Medical Group Inc,LEABGR,Healthcare,Medical Devices,Medical Devices/Apparatus,USA,TNMD,A,L,1056845,100.0,Tianrong Medical Group Inc.,United States
"PAO Group, Inc.",ELTFLS,Healthcare,Healthcare Services,Healthcare Support Services,USA,PAOG,A,L,35227267,100.0,"PAO Group, Inc.",United States
"FluoroPharma Medical, Inc.",CEWMPK,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,FPMI,A,L,22727382,100.0,"FluoroPharma Medical, Inc.",United States
"BioVie, Inc.",NNNTBI,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,BIVI,A,L,242387715,100.0,BioVie Inc.,United States
"Healthy Extracts, Inc.",GGCLOK,Healthcare,Pharmaceuticals,Natural/Alternative Drugs,USA,HYEX,A,L,601541178,100.0,Healthy Extracts Inc.,United States
"Woodbrook Group Holdings, Inc.",NRTWAY,Healthcare,Pharmaceuticals,Specialized Drugs/Medications (Discontinued from 12th November 2024),USA,WDBG,A,L,25772963,100.0,Woodbrook Group Holdings Inc.,Cyprus
"P3 Health Partners, Inc.",WUFFCJ,Healthcare,Healthcare Services,Healthcare Provision,USA,PIII,A,L,555049589,100.0,P3 Health Partners Inc.,United States
Praxsyn Corp.,AAQSE,Healthcare,Healthcare Services,Healthcare Support Services,USA,PXYN,A,L,108957313,100.0,Praxsyn Corporation,United States
"DLT Resolution, Inc.",DBLCKP,Healthcare,Other Healthcare,Healthcare Information Technologies,USA,DLTI,A,L,115875763,100.0,DLT Resolution Inc.,United States
"Hypha Labs, Inc.",DIGPHZ,Healthcare,Pharmaceuticals,Neuroactive/Psychotropic Drugs,USA,FUNI,A,L,118204666,100.0,"Hypha Labs, Inc.",United States
"PharmaCyte Biotech, Inc.",EFOODC,Healthcare,Pharmaceuticals,Biopharmaceuticals,USA,PMCB,A,L,3563709,100.0,"PharmaCyte Biotech, Inc.",United States
"PharmaRoth Labs, Inc.",FEROPK,Healthcare,Pharmaceuticals,Pharmaceuticals,USA,ROTH,A,L,38444061,100.0,"PharmaRoth Labs, Inc.",United States
"GB Sciences, Inc.",FLGVNT,Healthcare,Pharmaceuticals,Natural/Alternative Drugs,USA,GBLX,A,L,260598993,100.0,"GB Sciences, Inc.",United States
Horizons Holdings International Corp.,OCGT,Healthcare,Medical Devices,Medical Equipment/Supplies,USA,HZHI,A,L,292705,100.0,"Horizons Holdings International, Corp.",United States
"Virtual Medical International, Inc.",QEBI,Healthcare,Healthcare Services,Telehealth/Telemedicine Services,USA,QEBR,A,L,560253231,100.0,"Virtual Medical International, Inc.",United States
"Lifeline Biotechnologies, Inc.",LIFBI,Healthcare,Medical Devices,Medical Diagnostic Equipment/Supplies,USA,LLBO,A,L,668347,100.0,"Lifeline Biotechnologies, Inc.",United States
"Alternaturals, Inc.",PMRTGS,Healthcare,Pharmaceuticals,Natural/Alternative Drugs,USA,ANAS,A,L,1455506,100.0,"Alternaturals, Inc.",United States
"Lisata Therapeutics, Inc.",FMSI,Healthcare,Biotech & Research,Stem Cell Research,USA,LSTA,A,L,338272,100.0,"Lisata Therapeutics, Inc.",United States
